Fecha,Valor Real Transformado,Predicción Transformada
2021-12-01,-0.13115421149066006,-0.19106458
2022-01-01,0.11820108562767116,0.010119714
2022-02-01,0.02016201253903119,-0.0009979164
2022-03-01,-0.2419545973506159,-0.22559884
2022-04-01,0.17879082982987796,-0.024899287
2022-05-01,0.0965548341319265,0.03722864
2022-06-01,0.0718751722680739,-0.063625254
2022-07-01,-0.014402794459967627,-0.23424229
2022-08-01,-0.02360497978062536,-0.06765085
2022-09-01,0.08054382763160284,-0.046504535
2022-10-01,0.1486087198057363,-0.07949216
2022-11-01,0.12196986175731182,-0.066454954
